1	EC number	Spectator Cofactors	Co-substrate Cofactors	Class	Subsystem	Functional Role	Reaction	Equation	Comments
477	3.1.3.5			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	NMN phosphatase (EC 3.1.3.5)	rxn01670	(1) H2O[0] + (1) Nicotinamide ribonucleotide[0] <=> (1) Phosphate[0] + (1) N-Ribosylnicotinamide[0]	
478	3.6.1.22			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	NUDIX hydrolase, NAD diphosphatase (EC 3.6.1.22)	rxn00076	(1) H2O[0] + (1) NAD[0] <=> (1) AMP[0] + (2) H+[0] + (1) Nicotinamide ribonucleotide[0]	
479	3.5.1.19			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Nicotinamidase (EC 3.5.1.19) of PncA family, nonfunctional	rxn00938	(1) H2O[0] + (1) Nicotinamide[0] <=> (1) NH3[0] + (1) Niacin[0]	
480	3.5.1.19			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Nicotinamidase (EC 3.5.1.19), plant/cyanobacterial family	rxn00938	(1) H2O[0] + (1) Nicotinamide[0] <=> (1) NH3[0] + (1) Niacin[0]	
481	2.7.7.1			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1), eukaryotic PNAT family	rxn00105	(1) ATP[0] + (1) Nicotinamide ribonucleotide[0] <=> (1) NAD[0] + (1) PPi[0]	
482	2.7.7.1			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Nicotinamide-nucleotide adenylyltransferase (EC 2.7.7.1), eukaryotic PNAT family	rxn02155	(1) ATP[0] + (1) Nicotinate ribonucleotide[0] <=> (1) PPi[0] + (1) Deamido-NAD[0]	
483	2.1.1.7			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Nicotinate N-methyltransferase (EC 2.1.1.7)	rxn01262	(1) S-Adenosyl-L-methionine[0] + (1) Niacin[0] <=> (1) S-Adenosyl-homocysteine[0] + (1) Gynesine[0]	
484	2.4.2.11			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	rxn01265	(1) PPi[0] + (1) Nicotinate ribonucleotide[0] <=> (1) PRPP[0] + (1) Niacin[0]	
485	2.4.2.11			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Nicotinate phosphoribosyltransferase (EC 2.4.2.11)	rxn24928	(1) H+[0] + (1) Niacin[0] + (1) D-ribulose-1-P[0] <=> (1) Phosphate[0] + (1) Nicotinate D-ribonucleoside[0]	
486	2.7.7.18			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Nicotinate-nucleotide adenylyltransferase (EC 2.7.7.18), eukaryotic PNAT family	rxn02155	(1) ATP[0] + (1) Nicotinate ribonucleotide[0] <=> (1) PPi[0] + (1) Deamido-NAD[0]	
487	1.4.3.5			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	rxn00208	(1) H2O[0] + (1) O2[0] + (1) Pyridoxamine phosphate[0] <=> (1) NH3[0] + (1) Pyridoxal phosphate[0] + (1) H2O2[0]	
488	1.4.3.5			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	rxn00209	(1) O2[0] + (1) Pyridoxine phosphate[0] <=> (1) Pyridoxal phosphate[0] + (1) H2O2[0]	
489	2.4.2.19			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Quinolinate phosphoribosyltransferase [decarboxylating] (EC 2.4.2.19)	rxn02402	(1) CO2[0] + (1) PPi[0] + (1) Nicotinate ribonucleotide[0] <=> (1) H+[0] + (1) PRPP[0] + (1) Quinolinate[0]	
490	2.5.1.72			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Quinolinate synthetase (EC 2.5.1.72)	rxn02988	(2) H2O[0] + (1) Phosphate[0] + (1) Quinolinate[0] <=> (1) Glycerone-phosphate[0] + (1) Iminoaspartate[0]	
491	2.7.1.22			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Ribosylnicotinamide kinase, eukaryotic (EC 2.7.1.22)	rxn01671	(1) ATP[0] + (1) N-Ribosylnicotinamide[0] <=> (1) ADP[0] + (1) H+[0] + (1) Nicotinamide ribonucleotide[0]	
492	2.7.1.173			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Ribosylnicotinic acid kinase, eukaryotic (EC 2.7.1.173)	rxn02401	(1) ADP[0] + (1) H+[0] + (1) Nicotinate ribonucleotide[0] <=> (1) ATP[0] + (1) Nicotinate D-ribonucleoside[0]	
493	1.6.1.1			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	Soluble pyridine nucleotide transhydrogenase (EC 1.6.1.1)	rxn00083	(1) NAD[0] + (1) NADPH[0] <=> (1) NADH[0] + (1) NADP[0]	
494	2.4.1.196			Cofactors	Niacin,_NAD_and_NADP_biosynthesis_in_plants	UDP-glucose:nicotinate-N-glucosyltransferase  (EC 2.4.1.196)	rxn01263	(1) UDP-glucose[0] + (1) H+[0] + (1) Niacin[0] <=> (1) UDP[0] + (1) N-Glucosylnicotinate[0]	
495	1.1.1.169			Cofactors	Pantothenate_and_CoA_biosynthesis_in_plants	2-dehydropantoate 2-reductase (EC 1.1.1.169)	rxn01790	(1) NADP[0] + (1) Pantoate[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 2-Dehydropantoate[0]	
496	2.1.2.11			Cofactors	Pantothenate_and_CoA_biosynthesis_in_plants	3-methyl-2-oxobutanoate hydroxymethyltransferase (EC 2.1.2.11)	rxn00912	(1) H2O[0] + (1) 3-Methyl-2-oxobutanoate[0] + (1) 5-10-Methylenetetrahydrofolate[0] <=> (1) Tetrahydrofolate[0] + (1) 2-Dehydropantoate[0]	
497	2.7.1.24			Cofactors	Pantothenate_and_CoA_biosynthesis_in_plants	Dephospho-CoA kinase (EC 2.7.1.24)	rxn00100	(1) ATP[0] + (1) Dephospho-CoA[0] <=> (1) ADP[0] + (1) CoA[0] + (1) H+[0]	
498	6.3.2.1			Cofactors	Pantothenate_and_CoA_biosynthesis_in_plants	Pantoate--beta-alanine ligase (EC 6.3.2.1)	rxn01791	(1) ATP[0] + (1) beta-Alanine[0] + (1) Pantoate[0] <=> (1) PPi[0] + (1) AMP[0] + (2) H+[0] + (1) PAN[0]	
499	2.7.1.33			Cofactors	Pantothenate_and_CoA_biosynthesis_in_plants	Pantothenate kinase type II, eukaryotic (EC 2.7.1.33)	rxn12510	(1) ATP[0] + (1) PAN[0] <=> (1) ADP[0] + (1) H+[0] + (1) 4-phosphopantothenate[0]	
500	2.7.7.3			Cofactors	Pantothenate_and_CoA_biosynthesis_in_plants	Phosphopantetheine adenylyltransferase, type II eukaryotic (EC 2.7.7.3)	rxn02175	(1) ATP[0] + (1) Phosphopantetheine[0] <=> (1) PPi[0] + (1) Dephospho-CoA[0]	
501	4.1.1.36			Cofactors	Pantothenate_and_CoA_biosynthesis_in_plants	Phosphopantothenoylcysteine decarboxylase (EC 4.1.1.36)	rxn02341	(1) H+[0] + (1) (R)-4'-Phosphopantothenoyl-L-cysteine[0] <=> (1) CO2[0] + (1) Phosphopantetheine[0]	
502	6.3.2.5			Cofactors	Pantothenate_and_CoA_biosynthesis_in_plants	Phosphopantothenoylcysteine synthetase (EC 6.3.2.5)	rxn09177	(1) CTP[0] + (1) L-Cysteine[0] + (1) 4-phosphopantothenate[0] <=> (1) PPi[0] + (1) CMP[0] + (2) H+[0] + (1) (R)-4'-Phosphopantothenoyl-L-cysteine[0]	
503				Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	PLP transport	rxn32037	(1) Pyridoxine phosphate[0] <=> (1) Pyridoxine phosphate[1]	
504	2.7.1.35			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	Pyridoxal kinase (EC 2.7.1.35)	rxn00124	(1) ATP[0] + (1) Pyridoxal[0] <=> (1) ADP[0] + (1) Pyridoxal phosphate[0] + (1) H+[0]	
505	2.7.1.35			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	Pyridoxal kinase (EC 2.7.1.35)	rxn01396	(1) ATP[0] + (1) Pyridoxol[0] <=> (1) ADP[0] + (1) H+[0] + (1) Pyridoxine phosphate[0]	
506	2.7.1.35			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	Pyridoxal kinase (EC 2.7.1.35)	rxn01807	(1) ATP[0] + (1) PM[0] <=> (1) ADP[0] + (1) H+[0] + (1) Pyridoxamine phosphate[0]	
507	1.1.1.65			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	Pyridoxal reductase (EC 1.1.1.65)	rxn01249	(1) NADP[0] + (1) Pyridoxol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) Pyridoxal[0]	
508	3.1.3.74			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	Pyridoxal-5'-phosphate phosphatase (EC 3.1.3.74), eukaryotic type	rxn00123	(1) H2O[0] + (1) Pyridoxal phosphate[0] <=> (1) Phosphate[0] + (1) Pyridoxal[0]	
509	1.4.3.5			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	rxn00208	(1) H2O[0] + (1) O2[0] + (1) Pyridoxamine phosphate[0] <=> (1) NH3[0] + (1) Pyridoxal phosphate[0] + (1) H2O2[0]	
510	1.4.3.5			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	Pyridoxamine 5'-phosphate oxidase (EC 1.4.3.5)	rxn00209	(1) O2[0] + (1) Pyridoxine phosphate[0] <=> (1) Pyridoxal phosphate[0] + (1) H2O2[0]	
511	2.6.1.30			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	Pyridoxamine-pyruvate aminotransferase (EC 2.6.1.30)	rxn01253	(1) Pyruvate[0] + (1) PM[0] <=> (1) L-Alanine[0] + (1) Pyridoxal[0]	
512	2.4.2.-			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	Pyridoxine biosynthesis glutamine amidotransferase, glutaminase subunit (EC 2.4.2.-)	rxn21635	(1) L-Glutamine[0] + (1) ribose-5-phosphate[0] + (1) Glyceraldehyde3-phosphate[0] => (3) H2O[0] + (1) Phosphate[0] + (1) Pyridoxal phosphate[0] + (1) L-Glutamate[0] + (1) H+[0]	
513	2.4.2.-			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	Pyridoxine biosynthesis glutamine amidotransferase, synthase subunit (EC 2.4.2.-)	rxn21635	(1) L-Glutamine[0] + (1) ribose-5-phosphate[0] + (1) Glyceraldehyde3-phosphate[0] => (3) H2O[0] + (1) Phosphate[0] + (1) Pyridoxal phosphate[0] + (1) L-Glutamate[0] + (1) H+[0]	
514	2.4.1.160			Cofactors	Pyridoxine_(vitamin_B6)_biosynthesis_in_plants	UDP-glucose:pyridoxine 5'-O-beta-D-glucosyltransferase (EC 2.4.1.160)	rxn01399	(1) UDP-glucose[0] + (1) Pyridoxol[0] <=> (1) UDP[0] + (1) 5'-O-beta-D-Glucosylpyridoxine[0]	
515	4.1.99.12			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	3,4-dihydroxy-2-butanone 4-phosphate synthase (EC 4.1.99.12)	rxn05040	(1) D-Ribulose5-phosphate[0] <=> (1) Formate[0] + (1) H+[0] + (1) 3-4-dihydroxy-2-butanone4-phosphate[0]	
516				Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	5-Amino-6-(5'-phosphoribitylamino)uracil phosphatase	rxn05039	(1) H2O[0] + (1) 5-Amino-6--5-phosphoribitylaminouracil[0] <=> (1) Phosphate[0] + (1) 4--1-D-Ribitylamino-5-aminouracil[0]	
517	1.1.1.193			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	5-amino-6-(5-phosphoribosylamino)uracil reductase (EC 1.1.1.193)	rxn02474	(1) NADP[0] + (1) 5-Amino-6--5-phosphoribitylaminouracil[0] <=> (1) NADPH[0] + (1) H+[0] + (1) 5-Amino-6--5-phosphoribosylaminouracil[0]	
518	2.5.1.78			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	6,7-dimethyl-8-ribityllumazine synthase (EC 2.5.1.78)	rxn03080	(1) 4--1-D-Ribitylamino-5-aminouracil[0] + (1) 3-4-dihydroxy-2-butanone4-phosphate[0] <=> (2) H2O[0] + (1) Phosphate[0] + (1) H+[0] + (1) 6-7-Dimethyl-8--1-D-ribityllumazine[0]	
519	3.5.4.26			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	Diaminohydroxyphosphoribosylaminopyrimidine deaminase (EC 3.5.4.26)	rxn02475	(1) H2O[0] + (1) H+[0] + (1) 2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone[0] <=> (1) NH3[0] + (1) 5-Amino-6--5-phosphoribosylaminouracil[0]	
520	3.6.1.18			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	FAD pyrophosphatase (EC 3.6.1.18)	rxn00121	(1) H2O[0] + (1) FAD[0] <=> (1) AMP[0] + (1) FMN[0] + (2) H+[0]	
521	2.7.7.2			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	FMN adenylyltransferase (EC 2.7.7.2)	rxn00122	(1) ATP[0] + (1) FMN[0] <=> (1) PPi[0] + (1) FAD[0]	
522	2.7.7.2			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	FMN adenylyltransferase, type 2 eukaryotic (EC 2.7.7.2)	rxn00122	(1) ATP[0] + (1) FMN[0] <=> (1) PPi[0] + (1) FAD[0]	
523	3.1.3.-			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	FMN hydrolase, high substrate specificity (EC 3.1.3.-)	rxn00391	(1) H2O[0] + (1) FMN[0] <=> (1) Phosphate[0] + (1) Riboflavin[0]	
524	3.5.4.25			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	GTP cyclohydrolase II (EC 3.5.4.25)	rxn00300	(3) H2O[0] + (1) GTP[0] <=> (1) PPi[0] + (1) Formate[0] + (3) H+[0] + (1) 2,5-Diamino-6-(5'-phosphoribosylamino)-4-pyrimidineone[0]	
525	2.7.1.26			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	Riboflavin kinase (EC 2.7.1.26)	rxn00392	(1) ATP[0] + (1) Riboflavin[0] <=> (1) ADP[0] + (1) FMN[0] + (1) H+[0]	
526	2.5.1.9			Cofactors	Riboflavin,_FMN_and_FAD_biosynthesis_in_plants	Riboflavin synthase eubacterial/eukaryotic (EC 2.5.1.9)	rxn00048	(1) H+[0] + (2) 6-7-Dimethyl-8--1-D-ribityllumazine[0] <=> (1) Riboflavin[0] + (1) 4--1-D-Ribitylamino-5-aminouracil[0]	
527	4.1.2.-			Cofactors	Thiamin_biosynthesis_in_plants	5-deoxy-ribulose-1-phosphate aldolase (EC 4.1.2.-)	rxn39252	(1) 5-deoxy-D-ribulose-1-phosphate[0] => (2) H+[0] + (1) Acetaldehyde[0] + (1) Glycerone-phosphate[0]	
528	2.4.2.-			Cofactors	Thiamin_biosynthesis_in_plants	5-deoxyadenosine phosphorylase (EC 2.4.2.-)	rxn39250	(1) Phosphate[0] + (1) H+[0] + (1) 5’-Deoxyadenosine[0] => (1) Adenine[0] + (1) 5-Deoxyribose-1-phosphate[0]	
529	5.3.1.-			Cofactors	Thiamin_biosynthesis_in_plants	5-deoxyribose-1-phosphate isomerase (EC 5.3.1.-)	rxn39251	(1) H+[0] + (1) 5-Deoxyribose-1-phosphate[0] => (1) 5-deoxy-D-ribulose-1-phosphate[0]	
530	2.7.1.50			Cofactors	Thiamin_biosynthesis_in_plants	Hydroxyethylthiazole kinase (EC 2.7.1.50)	rxn03075	(1) ATP[0] + (1) 4-Methyl-5--2-hydroxyethyl-thiazole[0] <=> (1) ADP[0] + (1) H+[0] + (1) 4-Methyl-5--2-phosphoethyl-thiazole[0]	
531	2.7.1.49			Cofactors	Thiamin_biosynthesis_in_plants	Hydroxymethylpyrimidine kinase (EC 2.7.1.49)	rxn02484	(1) ATP[0] + (1) Toxopyrimidine[0] <=> (1) ADP[0] + (1) H+[0] + (1) 4-Amino-5-phosphomethyl-2-methylpyrimidine[0]	
532	2.7.4.7			Cofactors	Thiamin_biosynthesis_in_plants	Hydroxymethylpyrimidine phosphate kinase ThiD (EC 2.7.4.7)	rxn03108	(1) ATP[0] + (1) H+[0] + (1) 4-Amino-5-phosphomethyl-2-methylpyrimidine[0] <=> (1) ADP[0] + (1) 4-Amino-2-methyl-5-diphosphomethylpyrimidine[0]	
533	4.1.99.17			Cofactors	Thiamin_biosynthesis_in_plants	Hydroxymethylpyrimidine phosphate synthase ThiC (EC 4.1.99.17)	rxn20643	(1) S-Adenosyl-L-methionine[0] + (1) AIR[0] <=> (1) Formate[0] + (1) L-Methionine[0] + (2) H+[0] + (1) CO[0] + (1) 4-Amino-5-phosphomethyl-2-methylpyrimidine[0] + (1) 5'-Deoxyadenosine[0]	
534				Cofactors	Thiamin_biosynthesis_in_plants	Mitochondrial DNA damage tolerance	rxn27029	(1) NAD[0] + (1) Glycine[0] + (1) L-Cysteine[0] => (3) H2O[0] + (1) L-Alanine[0] + (1) Nicotinamide[0] + (1) 2-carboxylate-4-methyl-5-beta-(ethyl adenosine 5-diphosphate) thiazole[0]	
535				Cofactors	Thiamin_biosynthesis_in_plants	Mitochondrial DNA damage tolerance	rxn27030	(1) H2O[0] + (1) 2-carboxylate-4-methyl-5-beta-(ethyl adenosine 5-diphosphate) thiazole[0] => (1) CO2[0] + (1) AMP[0] + (1) H+[0] + (1) 4-Methyl-5--2-phosphoethyl-thiazole[0]	
536	2.7.6.2			Cofactors	Thiamin_biosynthesis_in_plants	Thiamin pyrophosphokinase (EC 2.7.6.2)	rxn00440	(1) ATP[0] + (1) Thiamin[0] <=> (1) AMP[0] + (1) TPP[0] + (1) H+[0]	
537	2.5.1.3			Cofactors	Thiamin_biosynthesis_in_plants	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	rxn02305	(1) 4-Methyl-5--2-phosphoethyl-thiazole[0] + (1) 4-Amino-2-methyl-5-diphosphomethylpyrimidine[0] <=> (1) PPi[0] + (1) Thiamine phosphate[0]	
538	2.5.1.3			Cofactors	Thiamin_biosynthesis_in_plants	Thiamin-phosphate pyrophosphorylase (EC 2.5.1.3)	rxn03108	(1) ATP[0] + (1) H+[0] + (1) 4-Amino-5-phosphomethyl-2-methylpyrimidine[0] <=> (1) ADP[0] + (1) 4-Amino-2-methyl-5-diphosphomethylpyrimidine[0]	
539	3.1.3.-			Cofactors	Thiamin_biosynthesis_in_plants	Thiamine-monophosphate phosphatase (EC 3.1.3.-)	rxn01539	(1) Phosphate[0] + (1) Thiamin[0] <=> (1) H2O[0] + (1) Thiamine phosphate[0]	
540	3.6.1.28			Cofactors	Thiamin_biosynthesis_in_plants	Thiamine-triphosphatase (EC 3.6.1.28)	rxn00439	(1) H2O[0] + (1) Thiamin triphosphate[0] <=> (1) Phosphate[0] + (1) TPP[0] + (1) H+[0]	
541	2.7.4.15			Cofactors	Thiamin_biosynthesis_in_plants	Thiamine-triphosphatase (ThTP) synthase (EC 2.7.4.15)	rxn00437	(1) ATP[0] + (1) TPP[0] <=> (1) ADP[0] + (1) Thiamin triphosphate[0]	
542				Cofactors	Thiamin_biosynthesis_in_plants	Thiazole biosynthetic enzyme Thi4	rxn27029	(1) NAD[0] + (1) Glycine[0] + (1) L-Cysteine[0] => (3) H2O[0] + (1) L-Alanine[0] + (1) Nicotinamide[0] + (1) 2-carboxylate-4-methyl-5-beta-(ethyl adenosine 5-diphosphate) thiazole[0]	
543				Cofactors	Thiamin_biosynthesis_in_plants	Thiazole biosynthetic enzyme Thi4	rxn27030	(1) H2O[0] + (1) 2-carboxylate-4-methyl-5-beta-(ethyl adenosine 5-diphosphate) thiazole[0] => (1) CO2[0] + (1) AMP[0] + (1) H+[0] + (1) 4-Methyl-5--2-phosphoethyl-thiazole[0]	
544				Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Cytochrome b6-f complex alternative Rieske iron sulfur protein PetC2	rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	
545				Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Cytochrome b6-f complex alternative Rieske iron sulfur protein PetC3	rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	
546				Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Cytochrome b6-f complex iron-sulfur subunit PetC1 (Rieske iron sulfur protein EC 1.10.9.1)	rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	
547				Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Cytochrome b6-f complex iron-sulfur subunit PetC1 (Rieske iron sulfur protein EC 1.10.99.1)	rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	
548				Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Cytochrome b6-f complex subunit IV (PetD)	rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	
549				Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Cytochrome b6-f complex subunit V (PetG)	rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	
550				Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Cytochrome b6-f complex subunit VII (PetM)	rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	
551				Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Cytochrome b6-f complex subunit, apocytochrome f	rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	
552				Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Cytochrome b6-f complex subunit, cytochrome b6	rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	
553				Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Cytochrome b6-f complex subunit, cytochrome b6, putative	rxn20595	(2) Oxidized-Plastocyanins[0] + (1) PLASTOQUINOL-1[0] <=> (2) H+[0] + (1) PLASTOQUINONE[0] + (2) Plastocyanin-Reduced[0]	
554	1.18.1.2			Energy	Cytochrome_b6-f_complex_in_plants_(plastidial)_and_cyanobacteria	Ferredoxin-NADP(+) reductase (EC 1.18.1.2)	rxn17196	(1) NADP[0] + (1) H+[0] + (2) Reduced-ferredoxins[0] <= (1) NADPH[0] + (2) Oxidized-ferredoxins[0]	
555	3.6.3.14			Energy	F0F1-type_ATP_synthase_in_plants_(mitochondrial)	ATP synthase alpha chain (EC 3.6.3.14)	rxn08173	(1) ADP[0] + (1) Phosphate[0] + (4) H+[1] <=> (1) H2O[0] + (1) ATP[0] + (3) H+[0]	
556	3.6.3.14			Energy	F0F1-type_ATP_synthase_in_plants_(mitochondrial)	ATP synthase beta chain (EC 3.6.3.14)	rxn08173	(1) ADP[0] + (1) Phosphate[0] + (4) H+[1] <=> (1) H2O[0] + (1) ATP[0] + (3) H+[0]	
557	3.6.3.14			Energy	F0F1-type_ATP_synthase_in_plants_(mitochondrial)	ATP synthase delta chain (EC 3.6.3.14)	rxn08173	(1) ADP[0] + (1) Phosphate[0] + (4) H+[1] <=> (1) H2O[0] + (1) ATP[0] + (3) H+[0]	
558	3.6.3.14			Energy	F0F1-type_ATP_synthase_in_plants_(mitochondrial)	ATP synthase delta' chain (EC 3.6.3.14)	rxn08173	(1) ADP[0] + (1) Phosphate[0] + (4) H+[1] <=> (1) H2O[0] + (1) ATP[0] + (3) H+[0]	
559	3.6.3.14			Energy	F0F1-type_ATP_synthase_in_plants_(mitochondrial)	ATP synthase epsilon chain (EC 3.6.3.14)	rxn08173	(1) ADP[0] + (1) Phosphate[0] + (4) H+[1] <=> (1) H2O[0] + (1) ATP[0] + (3) H+[0]	
560	3.6.3.14			Energy	F0F1-type_ATP_synthase_in_plants_(mitochondrial)	ATP synthase gamma chain (EC 3.6.3.14)	rxn08173	(1) ADP[0] + (1) Phosphate[0] + (4) H+[1] <=> (1) H2O[0] + (1) ATP[0] + (3) H+[0]	
561				Energy	F0F1-type_ATP_synthase_in_plants_(mitochondrial)	Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib	rxn26475	(1) ADP[0] + (2) H+[0] + (1) Reduced-NrdH-Proteins[0] => (1) H2O[0] + (1) dADP[0] + (1) Oxidized-NrdH-Proteins[0]	
562				Energy	F0F1-type_ATP_synthase_in_plants_(mitochondrial)	Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib	rxn26476	(1) GDP[0] + (2) H+[0] + (1) Reduced-NrdH-Proteins[0] => (1) H2O[0] + (1) dGDP[0] + (1) Oxidized-NrdH-Proteins[0]	
563				Energy	F0F1-type_ATP_synthase_in_plants_(plastidial)	Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib	rxn26475	(1) ADP[0] + (2) H+[0] + (1) Reduced-NrdH-Proteins[0] => (1) H2O[0] + (1) dADP[0] + (1) Oxidized-NrdH-Proteins[0]	
564				Energy	F0F1-type_ATP_synthase_in_plants_(plastidial)	Glutaredoxin-like protein NrdH, required for reduction of Ribonucleotide reductase class Ib	rxn26476	(1) GDP[0] + (2) H+[0] + (1) Reduced-NrdH-Proteins[0] => (1) H2O[0] + (1) dGDP[0] + (1) Oxidized-NrdH-Proteins[0]	
565	3.6.3.14			Energy	F0F1-type_ATP_synthase_in_plants_(plastidial)	Plastidial ATP synthase alpha chain (EC 3.6.3.14)	rxn08173	(1) ADP[0] + (1) Phosphate[0] + (4) H+[1] <=> (1) H2O[0] + (1) ATP[0] + (3) H+[0]	
566	3.6.3.14			Energy	F0F1-type_ATP_synthase_in_plants_(plastidial)	Plastidial ATP synthase beta chain (EC 3.6.3.14)	rxn08173	(1) ADP[0] + (1) Phosphate[0] + (4) H+[1] <=> (1) H2O[0] + (1) ATP[0] + (3) H+[0]	
567				Energy	F0F1-type_ATP_synthase_in_plants_(plastidial)	Plastidial ATP synthase delta chain	rxn08173	(1) ADP[0] + (1) Phosphate[0] + (4) H+[1] <=> (1) H2O[0] + (1) ATP[0] + (3) H+[0]	
